Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
11,Scary Stories to Tell in the Dark,Three Books to Chill Your Bones,Alvin Schwartz,https://www.audible.com/pd/Scary-Stories-Audio-Collection-Audiobook/0063030470?qid=1635711313&sr=1-12&ref=a_special-p_c3_lProduct_1_12&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/41L28lUyKAL._SL500_.jpg,"Fiction, Kids & Teen",https://www.goodreads.com/book/show/1325218.Scary_Stories_to_Tell_in_the_Dark?from_search=true&from_srp=true&qid=JVJM3zaJ4E&rank=3,,4.04,60663
12,The Fortune Teller,,Gwendolyn Womack,https://www.audible.com/pd/The-Fortune-Teller-Audiobook/B0719WVT4Z?qid=1635711313&sr=1-13&ref=a_special-p_c3_lProduct_1_13&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/611OocXMklL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/31450952-the-fortune-teller?from_search=true&from_srp=true&qid=LBYIfebbvq&rank=1,,4.09,3866
13,The Summer That Made Us,,Robyn Carr,https://www.audible.com/pd/The-Summer-That-Made-Us-Audiobook/B074XDMCHH?qid=1635711313&sr=1-14&ref=a_special-p_c3_lProduct_1_14&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/61TdHNfWt-L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/34051969-the-summer-that-made-us?from_search=true&from_srp=true&qid=oY2T17Hd8I&rank=1,,4.05,6044
14,Harry's Trees,,Jon Cohen,https://www.audible.com/pd/Harrys-Trees-Audiobook/B07BGFWDG3?qid=1635711313&sr=1-15&ref=a_special-p_c3_lProduct_1_15&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/61eQ+q2gizL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/36540759-harry-s-trees?from_search=true&from_srp=true&qid=bZcO8wKvIx&rank=1,,4.19,11804
15,Stay,,Catherine Ryan Hyde,https://www.audible.com/pd/Stay-Audiobook/1799749304?qid=1635711313&sr=1-16&ref=a_special-p_c3_lProduct_1_16&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51IddsE4Q6L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/46155020-stay?from_search=true&from_srp=true&qid=VDBWGdenol&rank=1,,4.36,24258
16,Heart of a Samurai,,Margi Preus,https://www.audible.com/pd/Heart-of-a-Samurai-Audiobook/B005E1GCJS?qid=1635711313&sr=1-17&ref=a_special-p_c3_lProduct_1_17&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/61BMmOlYeiL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/7739968-heart-of-a-samurai?from_search=true&from_srp=true&qid=9kSQmkMfqi&rank=2,,3.93,6983
17,Sugar,,Bernice L. McFadden,https://www.audible.com/pd/Sugar-Audiobook/B06XDTGRZH?qid=1635711313&sr=1-18&ref=a_special-p_c3_lProduct_1_18&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/61+MTgWMfsL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/495369.Sugar?from_search=true&from_srp=true&qid=uK4AZz8phf&rank=1,,4.31,6558
18,The Devil All the Time,,Donald Ray Pollock,https://www.audible.com/pd/The-Devil-All-the-Time-Audiobook/B005C4FKDG?qid=1635711313&sr=1-19&ref=a_special-p_c3_lProduct_1_19&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/515xwDG-3oL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/10108463-the-devil-all-the-time?from_search=true&from_srp=true&qid=2zTaPy7BeV&rank=2,,4.12,27185
19,Bastard Out of Carolina,,Dorothy Allison,https://www.audible.com/pd/Bastard-Out-of-Carolina-Audiobook/B00A6GK9UE?qid=1635711313&sr=1-20&ref=a_special-p_c3_lProduct_1_20&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51Wmq2O4XKL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/25354.Bastard_Out_of_Carolina?from_search=true&from_srp=true&qid=VpDhkLxIBw&rank=2,,4.12,40449
20,Dracul,,"Dacre Stoker, J.D. Barker",https://www.audible.com/pd/Dracul-Audiobook/0525640479?qid=1635711313&sr=1-21&ref=a_special-p_c3_lProduct_1_21&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/41oowPdyY7L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/38363799-dracul?from_search=true&from_srp=true&qid=yaNL9Tx8BE&rank=1,,4.11,10250
21,The Affair,,Danielle Steel,https://www.audible.com/pd/The-Affair-Audiobook/198003298X?qid=1635711313&sr=1-22&ref=a_special-p_c3_lProduct_1_22&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/41AkLQgs2eL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/53751151-the-affair?from_search=true&from_srp=true&qid=cxy31urWBO&rank=1,,3.91,5835
22,Year of Wonders,A Novel of the Plague,Geraldine Brooks,https://www.audible.com/pd/Year-of-Wonders-Audiobook/B003YHQY3S?qid=1635711313&sr=1-23&ref=a_special-p_c3_lProduct_1_23&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51QTku9sBtL._SL500_.jpg,"Fiction, Romance",https://www.goodreads.com/book/show/4965.Year_of_Wonders?from_search=true&from_srp=true&qid=sD4J9LtrP7&rank=3,,3.99,153414
