Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Book ID,Goodreads Title,Goodreads Author,Goodreads_Link,Goodreads Search URL,Goodreads_Rating,Number_of_Ratings,Ratings combination,Goodreads search
23,The Incredible Winston Browne,,Sean Dietrich,https://www.audible.com/pd/The-Incredible-Winston-Browne-Audiobook/0785226427?qid=1630755486&sr=1-21&ref=a_special-p_c3_lProduct_1_21&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51pfG7aF1uL._SL500_.jpg,Fiction,20,The Incredible Winston Browne,Sean Dietrich,https://www.goodreads.com/book/show/52610674-the-incredible-winston-browne?from_search=true&from_srp=true&qid=IT8cxrH5u7&rank=1,https://www.goodreads.com/search?q=The+Incredible+Winston+Browne+Sean+Dietrich,4.43,595,4.26,https://www.goodreads.com/search?q=The Incredible Winston Browne+Sean Dietrich
,The Idiot [Blackstone],,Fyodor Dostoevsky,https://www.audible.com/pd/The-Idiot-Blackstone-Audiobook/B002V8MDH2?qid=1630755486&sr=1-22&ref=a_special-p_c3_lProduct_1_22&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/41XO98tJ7HL._SL500_.jpg,Fiction,21,,,https://www.goodreads.com/book/show/12505.The_Idiot?from_search=true&from_srp=true&qid=bRhGo0Nw1T&rank=1,,,,4,https://www.goodreads.com/search?q=The Idiot [Blackstone]+Fyodor Dostoevsky
24,"God, No!",Signs You May Already Be an Atheist and Other Magical Tales,Penn Jillette,https://www.audible.com/pd/God-No-Audiobook/B005GGGUG6?qid=1630755486&sr=1-23&ref=a_special-p_c3_lProduct_1_23&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/61MjWan6-LL._SL500_.jpg,Fiction,22,"God, No! Signs You May Already Be an Atheist and Other Magical Tales",Penn Jillette,https://www.goodreads.com/book/show/8495145-god-no-signs-you-may-already-be-an-atheist-and-other-magical-tales?from_search=true&from_srp=true&qid=I80qIPBoNC&rank=1,"https://www.goodreads.com/search?q=God,+No!+Penn+Jillette",3.66,7543,3.66,"https://www.goodreads.com/search?q=God, No!+Penn Jillette"
25,Say Goodbye for Now,,Catherine Ryan Hyde,https://www.audible.com/pd/Say-Goodbye-for-Now-Audiobook/B01KBMK3K8?qid=1630755486&sr=1-24&ref=a_special-p_c3_lProduct_1_24&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51Ov-tkZdkL._SL500_.jpg,Fiction,23,Say Goodbye for Now,Catherine Ryan Hyde,https://www.goodreads.com/book/show/30184217-say-goodbye-for-now?from_search=true&from_srp=true&qid=BqX4o1Z0gP&rank=1,https://www.goodreads.com/search?q=Say+Goodbye+for+Now+Catherine+Ryan+Hyde,4.32,20637,4.32,https://www.goodreads.com/search?q=Say Goodbye for Now+Catherine Ryan Hyde
26,No One Is Talking About This,A Novel,Patricia Lockwood,https://www.audible.com/pd/No-One-Is-Talking-About-This-Audiobook/0593395247?qid=1630755486&sr=1-25&ref=a_special-p_c3_lProduct_1_25&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51Wzu0nsviL._SL500_.jpg,Fiction,24,No One Is Talking About This,Patricia Lockwood,https://www.goodreads.com/book/show/53733106-no-one-is-talking-about-this?from_search=true&from_srp=true&qid=tPBUTq6PcA&rank=1,https://www.goodreads.com/search?q=No+One+Is+Talking+About+This+Patricia+Lockwood,3.69,11277,3.69,https://www.goodreads.com/search?q=No One Is Talking About This+Patricia Lockwood
27,Summer Island,,Kristin Hannah,https://www.audible.com/pd/Summer-Island-Audiobook/B002V5BUD8?qid=1630755486&sr=1-26&ref=a_special-p_c3_lProduct_1_26&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51jnKKKYWmL._SL500_.jpg,Fiction,25,Summer Island,Kristin Hannah,https://www.goodreads.com/book/show/40389026-summer-island?from_search=true&from_srp=true&qid=uyynJg70MY&rank=1,https://www.goodreads.com/search?q=Summer+Island+Kristin+Hannah,3.97,40462,3.97,https://www.goodreads.com/search?q=Summer Island+Kristin Hannah
29,The Lost Orphan,A Novel,Stacey Halls,https://www.audible.com/pd/The-Lost-Orphan-Audiobook/1488208085?qid=1630755486&sr=1-27&ref=a_special-p_c3_lProduct_1_27&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51mgO+62c0L._SL500_.jpg,Fiction,26,The Lost Orphan,Stacey Halls,https://www.goodreads.com/book/show/45422548-the-lost-orphan?from_search=true&from_srp=true&qid=SQ51tZUcpi&rank=1,https://www.goodreads.com/search?q=The+Lost+Orphan+Stacey+Halls,4.02,14116,4.02,https://www.goodreads.com/search?q=The Lost Orphan+Stacey Halls
30,Summer by the Sea,,Susan Wiggs,https://www.audible.com/pd/Summer-by-the-Sea-Audiobook/1488210330?qid=1630755486&sr=1-28&ref=a_special-p_c3_lProduct_1_28&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51dk8t2MbBL._SL500_.jpg,Fiction,27,Summer by the Sea,Susan Wiggs,https://www.goodreads.com/book/show/120069.Summer_by_the_Sea?from_search=true&from_srp=true&qid=tYJVXSW6oh&rank=2,https://www.goodreads.com/search?q=Summer+by+the+Sea+Susan+Wiggs,4.03,7673,4.03,https://www.goodreads.com/search?q=Summer by the Sea+Susan Wiggs
32,The Best of Us,,Robyn Carr,https://www.audible.com/pd/The-Best-of-Us-Audiobook/1980031487?qid=1630755486&sr=1-30&ref=a_special-p_c3_lProduct_1_30&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51clvFEdviL._SL500_.jpg,Fiction,28,"The Best of Us (Sullivan's Crossing, #4)",Robyn Carr,https://www.goodreads.com/book/show/40244951-the-best-of-us?from_search=true&from_srp=true&qid=u7sWnXnrXu&rank=1,https://www.goodreads.com/search?q=The+Best+of+Us+Robyn+Carr,4.11,8479,4.11,https://www.goodreads.com/search?q=The Best of Us+Robyn Carr
33,Dancing at the Rascal Fair,,Ivan Doig,https://www.audible.com/pd/Dancing-at-the-Rascal-Fair-Audiobook/B003EN4YPM?qid=1630755486&sr=1-31&ref=a_special-p_c3_lProduct_1_31&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51HGBtZ5diL._SL500_.jpg,Fiction,29,Dancing at the Rascal Fair,Ivan Doig,https://www.goodreads.com/book/show/122311.Dancing_at_the_Rascal_Fair?from_search=true&from_srp=true&qid=JCvA08hpTA&rank=2,https://www.goodreads.com/search?q=Dancing+at+the+Rascal+Fair+Ivan+Doig,4.22,6214,4.22,https://www.goodreads.com/search?q=Dancing at the Rascal Fair+Ivan Doig
34,One Tuesday Morning,,Karen Kingsbury,https://www.audible.com/pd/One-Tuesday-Morning-Audiobook/B002V0A5HK?qid=1630755486&sr=1-32&ref=a_special-p_c3_lProduct_1_32&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51Bk30CT8IL._SL500_.jpg,Fiction,30,"One Tuesday Morning (9/11, #1)",Karen Kingsbury,https://www.goodreads.com/book/show/97862.One_Tuesday_Morning?from_search=true&from_srp=true&qid=mBZMDnfm3T&rank=1,https://www.goodreads.com/search?q=One+Tuesday+Morning+Karen+Kingsbury,4.38,18986,4.38,https://www.goodreads.com/search?q=One Tuesday Morning+Karen Kingsbury
36,Musical Chairs,A Novel,Amy Poeppel,https://www.audible.com/pd/Musical-Chairs-Audiobook/1508280096?qid=1630755486&sr=1-33&ref=a_special-p_c3_lProduct_1_33&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51HgeXb6vRL._SL500_.jpg,Fiction,31,Musical Chairs,Amy Poeppel,https://www.goodreads.com/book/show/52753733-musical-chairs?from_search=true&from_srp=true&qid=yK8CsXIL3F&rank=1,https://www.goodreads.com/search?q=Musical+Chairs+Amy+Poeppel,3.83,3767,3.83,https://www.goodreads.com/search?q=Musical Chairs+Amy Poeppel
,While Paris Slept,A Novel,Ruth Druart,https://www.audible.com/pd/While-Paris-Slept-Audiobook/1549129813?qid=1630755486&sr=1-34&ref=a_special-p_c3_lProduct_1_34&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51FiX+51nML._SL500_.jpg,Fiction,32,,,https://www.goodreads.com/book/show/53146101-while-paris-slept?from_search=true&from_srp=true&qid=ePNg1jnI0X&rank=1,,,,4,https://www.goodreads.com/search?q=While Paris Slept+Ruth Druart
40,The Picture of Dorian Gray,,Oscar Wilde,https://www.audible.com/pd/The-Picture-of-Dorian-Gray-Audiobook/B002VAEOY0?qid=1630755486&sr=1-35&ref=a_special-p_c3_lProduct_1_35&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51uRV8Pu+3L._SL500_.jpg,Fiction,33,The Picture of Dorian Gray by Oscar Wilde,Oscar Wilde,https://www.goodreads.com/book/show/58207214-the-picture-of-dorian-gray-by-oscar-wilde?from_search=true&from_srp=true&qid=XvTsZDkR4H&rank=9,https://www.goodreads.com/search?q=The+Picture+of+Dorian+Gray+Oscar+Wilde,4.4,104,4.04,https://www.goodreads.com/search?q=The Picture of Dorian Gray+Oscar Wilde
47,Utopia Avenue,A Novel,David Mitchell,https://www.audible.com/pd/Utopia-Avenue-Audiobook/1101923210?qid=1630755486&sr=1-36&ref=a_special-p_c3_lProduct_1_36&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51UHUMbecwL._SL500_.jpg,Fiction,34,Utopia Avenue,David Mitchell,https://www.goodreads.com/book/show/52597312-utopia-avenue?from_search=true&from_srp=true&qid=75ElS8kEo1&rank=1,https://www.goodreads.com/search?q=Utopia+Avenue+David+Mitchell,4.02,13972,4.02,https://www.goodreads.com/search?q=Utopia Avenue+David Mitchell
48,My Year Abroad,A Novel,Chang-rae Lee,https://www.audible.com/pd/My-Year-Abroad-Audiobook/0593395220?qid=1630755486&sr=1-37&ref=a_special-p_c3_lProduct_1_37&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/5105WPDuT3L._SL500_.jpg,Fiction,35,My Year Abroad,Chang-rae Lee,https://www.goodreads.com/book/show/55333981-my-year-abroad?from_search=true&from_srp=true&qid=XUkyoJjvMs&rank=1,https://www.goodreads.com/search?q=My+Year+Abroad+Chang-rae+Lee,3.5,3613,3.5,https://www.goodreads.com/search?q=My Year Abroad+Chang-rae Lee
49,The Bitter and Sweet of Cherry Season,,Molly Fader,https://www.audible.com/pd/The-Bitter-and-Sweet-of-Cherry-Season-Audiobook/1488208395?qid=1630755486&sr=1-38&ref=a_special-p_c3_lProduct_1_38&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51PYPdad1EL._SL500_.jpg,Fiction,36,The Bitter and Sweet of Cherry Season,Molly Fader,https://www.goodreads.com/book/show/49978131-the-bitter-and-sweet-of-cherry-season?from_search=true&from_srp=true&qid=GvlkxAQX6T&rank=1,https://www.goodreads.com/search?q=The+Bitter+and+Sweet+of+Cherry+Season+Molly+Fader,4.19,1158,4.19,https://www.goodreads.com/search?q=The Bitter and Sweet of Cherry Season+Molly Fader
