Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
10,Matchmaking for Beginners,A Novel,Maddie Dawson,https://www.audible.com/pd/Matchmaking-for-Beginners-Audiobook/B07CRPFBW1?ref=a_ep_eureka_c10_lProduct_1_11&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/61WCZeQ9JtL._SL500_.jpg,"Fiction, Self Dev, $5 Titles",https://www.goodreads.com/book/show/37561377-matchmaking-for-beginners?from_search=true&from_srp=true&qid=VBlwCwpRHZ&rank=2,https://www.amazon.com/Matchmaking-for-Beginners-audiobook/dp/B07CRNKKX5/ref=sr_1_1?dchild=1&keywords=Matchmaking+for+Beginners+Maddie+Dawson&qid=1631651112&s=audible&sr=1-1&tag=listenerslist-20,3.96,52097
11,Hidden,A Bone Secrets Novel,Kendra Elliot,https://www.audible.com/pd/Hidden-Audiobook/B008M7Z9C2?ref=a_ep_eureka_c10_lProduct_1_12&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/511-DzYSLjL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/18799585-hidden?from_search=true&from_srp=true&qid=6M0n2Fgn5l&rank=1,https://www.amazon.com/Hidden-Kendra-Elliot-audiobook/dp/B008MRU5XU/ref=sr_1_1?dchild=1&keywords=Hidden+Kendra+Elliot&qid=1631651116&s=audible&sr=1-1&tag=listenerslist-20,4.08,25298
12,The Monkey Wrench Gang,,Edward Abbey,https://www.audible.com/pd/The-Monkey-Wrench-Gang-Audiobook/B007N42NK6?ref=a_ep_eureka_c10_lProduct_1_13&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51cWv5Nb7NL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/99208.The_Monkey_Wrench_Gang?from_search=true&from_srp=true&qid=85to51oTF4&rank=3,https://www.amazon.com/The-Monkey-Wrench-Gang-audiobook/dp/B007NC8V7C/ref=sr_1_1?dchild=1&keywords=The+Monkey+Wrench+Gang+Edward+Abbey&qid=1631651119&s=audible&sr=1-1&tag=listenerslist-20,4.09,22650
13,Ruthless King,"The Mount Trilogy, Book 1",Meghan March,https://www.audible.com/pd/Ruthless-King-Audiobook/B07574VQK5?ref=a_ep_eureka_c10_lProduct_1_14&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51Mb6nEEGxL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/36682959-ruthless-king?from_search=true&from_srp=true&qid=sBFG9Qu9DX&rank=1,https://www.amazon.com/Ruthless-King-Meghan-March-audiobook/dp/B07576TZV9/ref=sr_1_1?dchild=1&keywords=Ruthless+King+Meghan+March&qid=1631651122&s=audible&sr=1-1&tag=listenerslist-20,4.13,25932
14,Three Wishes,,Kristen Ashley,https://www.audible.com/pd/Three-Wishes-Audiobook/B071911T9Z?ref=a_ep_eureka_c10_lProduct_1_15&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51+GREvXN3L._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/11102353-three-wishes?from_search=true&from_srp=true&qid=S5MSpw1swq&rank=1,https://www.amazon.com/Three-Wishes-Kristen-Ashley-audiobook/dp/B0722LML8L/ref=sr_1_1?dchild=1&keywords=Three+Wishes+Kristen+Ashley&qid=1631651125&s=audible&sr=1-1&tag=listenerslist-20,4.12,12366
15,Crime and Punishment (AmazonClassics Edition),,"Fyodor Dostoyevsky, Constance Garnett - translator",https://www.audible.com/pd/Crime-and-Punishment-AmazonClassics-Edition-Audiobook/B07CZPFY1J?ref=a_ep_eureka_c10_lProduct_1_16&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/41hJj6tg-VL._SL500_.jpg,Fiction,,https://www.amazon.com/Crime-and-Punishment-AmazonClassics-Edition/dp/B07CZP6C6J/ref=sr_1_1?dchild=1&keywords=Crime+and+Punishment+%28AmazonClassics+Edition%29+Fyodor+Dostoyevsky%2C+Constance+Garnett+-&qid=1631651129&s=audible&sr=1-1&tag=listenerslist-20,0.0,0
16,The Blessing Way,,Tony Hillerman,https://www.audible.com/pd/The-Blessing-Way-Audiobook/B00XRUH8FK?ref=a_ep_eureka_c10_lProduct_1_17&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/61wJLNsppdL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/867387.The_Blessing_Way?from_search=true&from_srp=true&qid=ejO39yJeHp&rank=1,https://www.amazon.com/The-Blessing-Way-Tony-Hillerman-audiobook/dp/B00XV4MBE0/ref=sr_1_1?dchild=1&keywords=The+Blessing+Way+Tony+Hillerman&qid=1631651132&s=audible&sr=1-1&tag=listenerslist-20,4.04,21504
17,Grimm's Fairy Stories,,"The Brothers Grimm, Margaret Hunt - translator",https://www.audible.com/pd/Grimms-Fairy-Stories-Audiobook/B007BFCGPY?ref=a_ep_eureka_c10_lProduct_1_18&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/41A57dwU9TL._SL500_.jpg,"Fiction, $5 Titles",,https://www.amazon.com/Grimms-Fairy-Stories-audiobook/dp/B007BV0U5Q/ref=sr_1_1?dchild=1&keywords=Grimm-s+Fairy+Stories+The+Brothers+Grimm%2C+Margaret+Hunt+-&qid=1631651135&s=audible&sr=1-1&tag=listenerslist-20,0.0,0
18,The Aeneid,,Virgil,https://www.audible.com/pd/The-Aeneid-Audiobook/B002VA9BZC?ref=a_ep_eureka_c10_lProduct_1_19&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/518YSe5oa+L._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/189460.The_Aeneid_of_Virgil?from_search=true&from_srp=true&qid=gDtAB5zg6R&rank=1,https://www.amazon.com/The-Aeneid-Virgil-audiobook/dp/B000K98F3U/ref=sr_1_1?dchild=1&keywords=The+Aeneid+Virgil&qid=1631651139&s=audible&sr=1-1&tag=listenerslist-20,3.85,112937
19,A Long Time Gone,,Karen White,https://www.audible.com/pd/A-Long-Time-Gone-Audiobook/B00KQPJMBW?ref=a_ep_eureka_c10_lProduct_1_20&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/516xpKsH99L._SL500_.jpg,"Fiction,  Kids & Teens, $5 Titles",https://www.goodreads.com/book/show/18693656-a-long-time-gone?from_search=true&from_srp=true&qid=yAAsmgntmL&rank=1,https://www.amazon.com/A-Long-Time-Gone-Karen-White-audiobook/dp/B00KROB8UA/ref=sr_1_1?dchild=1&keywords=A+Long+Time+Gone+Karen+White&qid=1631651141&s=audible&sr=1-1&tag=listenerslist-20,4.09,7207
