Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Goodreads_Rating,Number_of_Ratings
What the Wind Knows,,Amy Harmon,https://www.audible.com/pd/What-the-Wind-Knows-Audiobook/1721307184?qid=1632673236&sr=1-12&ref=a_special-p_c3_lProduct_1_12&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/514OgesSCHL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/40407141-what-the-wind-knows?from_search=true&from_srp=true&qid=wfrFNL33qP&rank=1,4.3,74230
The Gown,A Novel of the Royal Wedding,Jennifer Robson,https://www.audible.com/pd/The-Gown-Audiobook/0062891987?qid=1632673236&sr=1-13&ref=a_special-p_c3_lProduct_1_13&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51Ft6BVmkeL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/39893613-the-gown?from_search=true&from_srp=true&qid=GSlFw6IBeF&rank=1,4.1,39671
Ungifted,,Gordon Korman,https://www.audible.com/pd/Ungifted-Audiobook/B009ET4ID8?qid=1632673236&sr=1-14&ref=a_special-p_c3_lProduct_1_14&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51pFfHo9TKL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/13623777-ungifted?from_search=true&from_srp=true&qid=gkaVhMSMwd&rank=3,4.04,20207
Seven Sisters,,Lucinda Riley,https://www.audible.com/pd/Seven-Sisters-Audiobook/B00WH0ZI1W?qid=1632673236&sr=1-15&ref=a_special-p_c3_lProduct_1_15&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51qYbmFOMkL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/22609358-the-seven-sisters?from_search=true&from_srp=true&qid=IVclZ07tTY&rank=1,4.17,61164
The Clockmaker's Daughter,,Kate Morton,https://www.audible.com/pd/The-Clockmakers-Daughter-Audiobook/B07DDMS1PJ?qid=1632673236&sr=1-16&ref=a_special-p_c3_lProduct_1_16&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/61cJQ8qv7HL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/38530939-the-clockmaker-s-daughter?from_search=true&from_srp=true&qid=Uv94z08Ips&rank=1,3.73,82188
People of the Book,A Novel,Geraldine Brooks,https://www.audible.com/pd/People-of-the-Book-Audiobook/B002V1AAPG?qid=1632673236&sr=1-17&ref=a_special-p_c3_lProduct_1_17&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/517anlASW8L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/1379961.People_of_the_Book?from_search=true&from_srp=true&qid=oKAxJXRfhh&rank=2,4.0,136606
Where the Forest Meets the Stars,,Glendy Vanderah,https://www.audible.com/pd/Where-the-Forest-Meets-the-Stars-Audiobook/1978644108?qid=1632673236&sr=1-18&ref=a_special-p_c3_lProduct_1_18&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51icwKEZxoL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/40545956-where-the-forest-meets-the-stars?from_search=true&from_srp=true&qid=KNqyLr8MKb&rank=1,4.12,142236
The Lost Vintage,A Novel,Ann Mah,https://www.audible.com/pd/The-Lost-Vintage-Audiobook/B07CH2PV3H?qid=1632673236&sr=1-19&ref=a_special-p_c3_lProduct_1_19&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/61u9SWbdgZL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/36260431-the-lost-vintage?from_search=true&from_srp=true&qid=N6r5fab9rL&rank=1,4.03,14120
Mrs. Lincoln's Dressmaker,,Jennifer Chiaverini,https://www.audible.com/pd/Mrs-Lincolns-Dressmaker-Audiobook/B00B505OWI?qid=1632673236&sr=1-20&ref=a_special-p_c3_lProduct_1_20&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/514cHCrSNRL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/15808287-mrs-lincoln-s-dressmaker?from_search=true&from_srp=true&qid=HHNVWAnJ3v&rank=1,3.49,26045
Before the Coffee Gets Cold,A Novel,Toshikazu Kawaguchi,https://www.audible.com/pd/Before-the-Coffee-Gets-Cold-Audiobook/1488209537?qid=1632673236&sr=1-21&ref=a_special-p_c3_lProduct_1_21&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/41aFjjjay1L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/44421460-before-the-coffee-gets-cold?from_search=true&from_srp=true&qid=kmgq5YvrhG&rank=1,3.73,52821
