Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Goodreads_Rating,Number_of_Ratings
Fierce Kingdom,A Novel,Gin Phillips,https://www.audible.com/pd/Fierce-Kingdom-Audiobook/B06XWGD6LH?qid=1632673263&sr=1-130&ref=a_special-p_c3_lProduct_3_30&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=STE10F85S3BGZN7GFMJV,https://m.media-amazon.com/images/I/51+lmT8JnCL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/33155777-fierce-kingdom?from_search=true&from_srp=true&qid=qJfJZNAyiC&rank=1,3.57,22996
The Painter's Daughter,,Julie Klassen,https://www.audible.com/pd/The-Painters-Daughter-Audiobook/B018W9PODI?qid=1632673263&sr=1-131&ref=a_special-p_c3_lProduct_3_31&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=STE10F85S3BGZN7GFMJV,https://m.media-amazon.com/images/I/519MdJwXL4L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/24974122-the-painter-s-daughter?from_search=true&from_srp=true&qid=Kh1EmtTmlI&rank=1,4.03,7498
Child of Vengeance,A Novel,David Kirk,https://www.audible.com/pd/Child-of-Vengeance-Audiobook/B00B4FMIVE?qid=1632673263&sr=1-132&ref=a_special-p_c3_lProduct_3_32&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=STE10F85S3BGZN7GFMJV,https://m.media-amazon.com/images/I/615vLpBGyoL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/15778328-child-of-vengeance?from_search=true&from_srp=true&qid=MFZHHpQS8y&rank=1,3.93,1427
The Children's Crusade,A Novel,Ann Packer,https://www.audible.com/pd/The-Childrens-Crusade-Audiobook/B00U3A4JZY?qid=1632673263&sr=1-133&ref=a_special-p_c3_lProduct_3_33&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=STE10F85S3BGZN7GFMJV,https://m.media-amazon.com/images/I/71Ta9oYgihL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/22609396-the-children-s-crusade?from_search=true&from_srp=true&qid=YjJMzmy0YR&rank=1,3.52,7325
The Wanderers,,Meg Howrey,https://www.audible.com/pd/The-Wanderers-Audiobook/B01MS0EWND?qid=1632673263&sr=1-134&ref=a_special-p_c3_lProduct_3_34&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=STE10F85S3BGZN7GFMJV,https://m.media-amazon.com/images/I/61dkx1Lrs5L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/29966530-the-wanderers?from_search=true&from_srp=true&qid=Cgx79FfPD7&rank=1,3.55,4613
Heart Like Mine,A Novel,Amy Hatvany,https://www.audible.com/pd/Heart-Like-Mine-Audiobook/B00BMCWB0C?qid=1632673263&sr=1-135&ref=a_special-p_c3_lProduct_3_35&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=STE10F85S3BGZN7GFMJV,https://m.media-amazon.com/images/I/51zmsWHAecL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/15802442-heart-like-mine?from_search=true&from_srp=true&qid=JM2hTXOXZz&rank=1,3.73,3617
The Reason You're Alive,A Novel,Matthew Quick,https://www.audible.com/pd/The-Reason-Youre-Alive-Audiobook/B07255QQV5?qid=1632673263&sr=1-136&ref=a_special-p_c3_lProduct_3_36&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=STE10F85S3BGZN7GFMJV,https://m.media-amazon.com/images/I/61VWTlbTFZL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/32522527-the-reason-you-re-alive?from_search=true&from_srp=true&qid=Z68uXKKWK3&rank=1,4.02,3818
A House Among the Trees,A Novel,Julia Glass,https://www.audible.com/pd/A-House-Among-the-Trees-Audiobook/B072J5JSK6?qid=1632673263&sr=1-137&ref=a_special-p_c3_lProduct_3_37&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=STE10F85S3BGZN7GFMJV,https://m.media-amazon.com/images/I/4145uxbd6nL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/32337896-a-house-among-the-trees?from_search=true&from_srp=true&qid=4hdjNRd6mo&rank=1,3.52,4004
Verity,,Colleen Hoover,https://www.audible.com/pd/Verity-Audiobook/B07Q769RZS?qid=1632673301&sr=1-1&ref=a_special-p_c3_lProduct_1_1&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/511i1nvprYL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/41957126-verity?from_search=true&from_srp=true&qid=qmjbyaYqjz&rank=4,4.36,325713
Crooked Kingdom,,Leigh Bardugo,https://www.audible.com/pd/Crooked-Kingdom-Audiobook/B01LYTWBSB?qid=1632673301&sr=1-2&ref=a_special-p_c3_lProduct_1_2&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51LA8pT6haL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/22299763-crooked-kingdom?from_search=true&from_srp=true&qid=UwOfLTRTsP&rank=1,4.59,352884
Pretty Girls,,Karin Slaughter,https://www.audible.com/pd/Pretty-Girls-Audiobook/B0149LZ2JE?qid=1632673301&sr=1-3&ref=a_special-p_c3_lProduct_1_3&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51Pk33x-5sL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/25574782-pretty-girls?from_search=true&from_srp=true&qid=wInkrzAFL7&rank=4,4.01,212952
Hell Divers II: Ghosts,"The Hell Divers Series, Book 2",Nicholas Sansbury Smith,https://www.audible.com/pd/Hell-Divers-II-Ghosts-Audiobook/B01N5US9UJ?qid=1632673301&sr=1-4&ref=a_special-p_c3_lProduct_1_4&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/61+NZmXQu2L._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/31434700-ghosts?from_search=true&from_srp=true&qid=XOA4Ttaa80&rank=1,4.22,4821
One Year After,,William R. Forstchen,https://www.audible.com/pd/One-Year-After-Audiobook/B014LLB1UG?qid=1632673301&sr=1-5&ref=a_special-p_c3_lProduct_1_5&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/61f9YCMKorL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/49420641-one-year-after---die-welt-ohne-strom?from_search=true&from_srp=true&qid=uaUP00GUwM&rank=5,3.94,52396
"My Sister, the Serial Killer",A Novel,Oyinkan Braithwaite,https://www.audible.com/pd/My-Sister-the-Serial-Killer-Audiobook/0525643281?qid=1632673301&sr=1-6&ref=a_special-p_c3_lProduct_1_6&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51vuypfCpsL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/38819868-my-sister-the-serial-killer?from_search=true&from_srp=true&qid=MhFP72T9lm&rank=1,3.72,204068
Back Blast,A Gray Man Novel,Mark Greaney,https://www.audible.com/pd/Back-Blast-Audiobook/B01B8IGYGQ?qid=1632673301&sr=1-7&ref=a_special-p_c3_lProduct_1_7&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51yz5-+SvQL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/24611449-back-blast?from_search=true&from_srp=true&qid=qznfPAHllA&rank=1,4.52,11448
Infinite,,Jeremy Robinson,https://www.audible.com/pd/Infinite-Audiobook/B076QGRFGD?qid=1632673301&sr=1-8&ref=a_special-p_c3_lProduct_1_8&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51UgdpCVNHL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/35128447-infinite?from_search=true&from_srp=true&qid=gYb4XhbaOr&rank=1,3.95,6449
Mission Critical,,Mark Greaney,https://www.audible.com/pd/Mission-Critical-Audiobook/B07L16HDFL?qid=1632673301&sr=1-9&ref=a_special-p_c3_lProduct_1_9&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51Mem1sCg9L._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/40202025-mission-critical?from_search=true&from_srp=true&qid=2QagY7wdyZ&rank=1,4.46,8085
Perfume,The Story of a Murderer,"Patrick Süskind, John E. Woods - translator",https://www.audible.com/pd/Perfume-Audiobook/1684412439?qid=1632673301&sr=1-10&ref=a_special-p_c3_lProduct_1_10&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51gpKPmUl9L._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/343.Perfume?from_search=true&from_srp=true&qid=SnbqveiRZS&rank=1,4.02,378202
Bird Box,A Novel,Josh Malerman,https://www.audible.com/pd/Bird-Box-Audiobook/B00JLOJ04I?qid=1632673301&sr=1-11&ref=a_special-p_c3_lProduct_1_11&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/514PjQiN21L._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/18498558-bird-box?from_search=true&from_srp=true&qid=RU60mMNMAx&rank=1,4.02,161899
The Mystery of Mrs. Christie,A Novel,Marie Benedict,https://www.audible.com/pd/The-Mystery-of-Mrs-Christie-Audiobook/B08NCZL91P?qid=1632673301&sr=1-12&ref=a_special-p_c3_lProduct_1_12&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51YPed40wDL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/54221749-the-mystery-of-mrs-christie?from_search=true&from_srp=true&qid=auYZJVpQEy&rank=1,3.73,16764
Crime Scene,A Novel,"Jonathan Kellerman, Jesse Kellerman",https://www.audible.com/pd/Crime-Scene-Audiobook/B071987HZ1?qid=1632673301&sr=1-13&ref=a_special-p_c3_lProduct_1_13&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51lR8px3SSL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/33555347-crime-scene?from_search=true&from_srp=true&qid=AdQIZeamdf&rank=1,3.7,6750
Secrets in Death,,J. D. Robb,https://www.audible.com/pd/Secrets-in-Death-Audiobook/B074F4HBHD?qid=1632673301&sr=1-14&ref=a_special-p_c3_lProduct_1_14&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/61OElHBuDjL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/32835140-secrets-in-death?from_search=true&from_srp=true&qid=3Hsv4vrvTo&rank=2,4.31,19909
Pushing Brilliance,,Tim Tigner,https://www.audible.com/pd/Pushing-Brilliance-Audiobook/B01KVUJ9MI?qid=1632673301&sr=1-15&ref=a_special-p_c3_lProduct_1_15&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51AHEEns5fL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/30734567-pushing-brilliance?from_search=true&from_srp=true&qid=FOBSzFYDok&rank=1,4.0,14897
The House of Silk,A Sherlock Holmes Novel,Anthony Horowitz,https://www.audible.com/pd/The-House-of-Silk-Audiobook/B005Y1W2FQ?qid=1632673301&sr=1-16&ref=a_special-p_c3_lProduct_1_16&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/61HSPac28WL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/11093329-the-house-of-silk?from_search=true&from_srp=true&qid=vQIgRarnwc&rank=1,3.98,47468
Hell Divers III: Deliverance,"The Hell Divers series, Book 3",Nicholas Sansbury Smith,https://www.audible.com/pd/Hell-Divers-III-Deliverance-Audiobook/B079NS2WGZ?qid=1632673301&sr=1-17&ref=a_special-p_c3_lProduct_1_17&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51iq+YnTBNL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/35480139-deliverance?from_search=true&from_srp=true&qid=XE4HfN3UDH&rank=1,4.26,3904
The Perfect Child,,Lucinda Berry,https://www.audible.com/pd/The-Perfect-Child-Audiobook/1721337237?qid=1632673301&sr=1-18&ref=a_special-p_c3_lProduct_1_18&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/41oRMC3wopL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/40886917-the-perfect-child?from_search=true&from_srp=true&qid=6yAH8ZrgBN&rank=1,4.1,46492
The Obsession,,Nora Roberts,https://www.audible.com/pd/The-Obsession-Audiobook/B01DDXXTYO?qid=1632673301&sr=1-19&ref=a_special-p_c3_lProduct_1_19&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/61lb+lzOjTL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/26236956-the-obsession?from_search=true&from_srp=true&qid=N4HjOPq0N3&rank=2,4.21,66548
Before She Disappeared,"A Novel (A Frankie Elkin Novel, Book 1)",Lisa Gardner,https://www.audible.com/pd/Before-She-Disappeared-Audiobook/1721387552?qid=1632673301&sr=1-20&ref=a_special-p_c3_lProduct_1_20&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51DaPuWKzQL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/55138263-before-she-disappeared?from_search=true&from_srp=true&qid=xsopDyL0Dp&rank=1,3.93,22242
Paper Ghosts,A Novel of Suspense,Julia Heaberlin,https://www.audible.com/pd/Paper-Ghosts-Audiobook/B07B4JK7BC?qid=1632673301&sr=1-21&ref=a_special-p_c3_lProduct_1_21&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51nB1ps7SxL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/32912154-paper-ghosts?from_search=true&from_srp=true&qid=Jb9pv6gcBF&rank=1,3.64,5046
Wolf Pack,,C. J. Box,https://www.audible.com/pd/Wolf-Pack-Audiobook/1980021805?qid=1632673301&sr=1-22&ref=a_special-p_c3_lProduct_1_22&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51AO65gjyEL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/40885349-wolf-pack?from_search=true&from_srp=true&qid=hWBKzBedQA&rank=1,4.38,12892
Nameless: Season One,,Dean Koontz,https://www.audible.com/pd/Nameless-Audiobook/1799764699?qid=1632673301&sr=1-23&ref=a_special-p_c3_lProduct_1_23&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51rrqBbQuUS._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/58315988-nameless?from_search=true&from_srp=true&qid=KHcSl99b5s&rank=8,4.16,37
Fear Nothing,Moonlight Bay,Dean Koontz,https://www.audible.com/pd/Fear-Nothing-Audiobook/B07CSNTDWZ?qid=1632673301&sr=1-24&ref=a_special-p_c3_lProduct_1_24&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/41+5rvxCwCL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/32432.Fear_Nothing?from_search=true&from_srp=true&qid=D7JxO6kzBr&rank=2,4.0,35318
The Tide Series Box Set (Books 1-4),A Post-Apocalyptic Thriller,Anthony J. Melchiorri,https://www.audible.com/pd/The-Tide-Series-Box-Set-Books-1-4-Audiobook/B07MR5HQ1X?qid=1632673301&sr=1-25&ref=a_special-p_c3_lProduct_1_25&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51wBPy69DSL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/43268914-the-tide-series-box-set?from_search=true&from_srp=true&qid=YgLNb0y3jG&rank=1,4.23,454
Eight Perfect Murders,A Novel,Peter Swanson,https://www.audible.com/pd/Eight-Perfect-Murders-Audiobook/0062838229?qid=1632673301&sr=1-26&ref=a_special-p_c3_lProduct_1_26&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/61o759x27JL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/52225186-eight-perfect-murders?from_search=true&from_srp=true&qid=wkhIY6GB1L&rank=1,3.64,41888
Touch & Go,A Novel,Lisa Gardner,https://www.audible.com/pd/Touch-Go-Audiobook/B00AYJVIGW?qid=1632673301&sr=1-27&ref=a_special-p_c3_lProduct_1_27&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/615ehxYzeXL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/15811495-touch-go?from_search=true&from_srp=true&qid=hAubzJAHdJ&rank=9,4.07,31009
The Polaris Protocol,,Brad Taylor,https://www.audible.com/pd/The-Polaris-Protocol-Audiobook/B00HLSH5P2?qid=1632673301&sr=1-28&ref=a_special-p_c3_lProduct_1_28&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51rkWQD8erL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/18079682-the-polaris-protocol?from_search=true&from_srp=true&qid=eBn2QDXYMk&rank=1,4.26,5067
Case Histories,A Novel,Kate Atkinson,https://www.audible.com/pd/Case-Histories-Audiobook/B002V08CSO?qid=1632673301&sr=1-29&ref=a_special-p_c3_lProduct_1_29&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51Oi86hePQL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/16243.Case_Histories?from_search=true&from_srp=true&qid=EOTzdpMj1q&rank=1,3.81,104089
They Never Learn,,Layne Fargo,https://www.audible.com/pd/They-Never-Learn-Audiobook/1797113674?qid=1632673301&sr=1-30&ref=a_special-p_c3_lProduct_1_30&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51hEga7ShIL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/50892240-they-never-learn?from_search=true&from_srp=true&qid=JxX6UKjFk4&rank=1,4.01,8213
Dare Me,A Novel,Megan Abbott,https://www.audible.com/pd/Dare-Me-Audiobook/B008NASAJM?qid=1632673301&sr=1-31&ref=a_special-p_c3_lProduct_1_31&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/511L3N1irPL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/12982393-dare-me?from_search=true&from_srp=true&qid=cBcKghoJno&rank=1,3.22,26853
The Truth About Melody Browne,,Lisa Jewell,https://www.audible.com/pd/The-Truth-About-Melody-Browne-Audiobook/1974929582?qid=1632673301&sr=1-32&ref=a_special-p_c3_lProduct_1_32&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/519YzHaFpbL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/6192737-the-truth-about-melody-browne?from_search=true&from_srp=true&qid=eX2AtfRfGw&rank=1,3.87,15096
The Cartel,,Don Winslow,https://www.audible.com/pd/The-Cartel-Audiobook/B00XIO0NV6?qid=1632673301&sr=1-33&ref=a_special-p_c3_lProduct_1_33&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51FAsEhj1vL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/23602561-the-cartel?from_search=true&from_srp=true&qid=nmnsV9XDDu&rank=1,4.31,30447
Evans Above,,Rhys Bowen,https://www.audible.com/pd/Evans-Above-Audiobook/B01N8ZU8KV?qid=1632673301&sr=1-34&ref=a_special-p_c3_lProduct_1_34&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51hvar2DMtL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/383515.Evans_Above?from_search=true&from_srp=true&qid=ulflMHoGDL&rank=1,3.7,4594
"The War Planners Series, Books 1-3","The War Planners, The War Stage, and Pawns of the Pacific",Andrew Watts,https://www.audible.com/pd/The-War-Planners-Series-Books-1-3-Audiobook/B071WQN8XX?qid=1632673301&sr=1-35&ref=a_special-p_c3_lProduct_1_35&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51JoMLKF0cL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/37882782-the-war-planners-series?from_search=true&from_srp=true&qid=dKFodFg3cC&rank=1,4.31,1953
The Insider Threat,A Pike Logan Thriller,Brad Taylor,https://www.audible.com/pd/The-Insider-Threat-Audiobook/B00ZZOBVO0?qid=1632673301&sr=1-36&ref=a_special-p_c3_lProduct_1_36&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51pFquzhxYL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/23398849-the-insider-threat?from_search=true&from_srp=true&qid=GtGBCb1nSu&rank=1,4.19,4044
Dry Bones,A Walt Longmire Mystery,Craig Johnson,https://www.audible.com/pd/Dry-Bones-Audiobook/B00W2B3GXS?qid=1632673301&sr=1-38&ref=a_special-p_c3_lProduct_1_38&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51llFHduXfL._SL500_.jpg,"Mysteries & Thrillers, Sci-Fi & Fantasy",https://www.goodreads.com/book/show/23281918-dry-bones?from_search=true&from_srp=true&qid=e5pi00m6nj&rank=1,4.22,9555
Silent Child,"Silent Child, Book 1",Sarah A. Denzil,https://www.audible.com/pd/Silent-Child-Audiobook/B074B2G3LQ?qid=1632673301&sr=1-39&ref=a_special-p_c3_lProduct_1_39&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51WFtuEK2kL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/33984070-silent-child?from_search=true&from_srp=true&qid=RqVG8zJe42&rank=1,4.02,61096
Everywhere That Mary Went,A Rosato & Associates Novel,Lisa Scottoline,https://www.audible.com/pd/Everywhere-That-Mary-Went-Audiobook/B01LDM4ISI?qid=1632673301&sr=1-40&ref=a_special-p_c3_lProduct_1_40&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51x924fqFJL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/307644.Everywhere_That_Mary_Went?from_search=true&from_srp=true&qid=GhNHWpVbdD&rank=2,3.8,12569
Heirs and Graces,,Rhys Bowen,https://www.audible.com/pd/Heirs-and-Graces-Audiobook/B00E3WVNVQ?qid=1632673301&sr=1-41&ref=a_special-p_c3_lProduct_1_41&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51+lTNrr3zL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/15808340-heirs-and-graces?from_search=true&from_srp=true&qid=NSYzQ19voy&rank=1,3.97,10814
Thief River Falls,,Brian Freeman,https://www.audible.com/pd/Thief-River-Falls-Audiobook/1799749754?qid=1632673301&sr=1-42&ref=a_special-p_c3_lProduct_1_42&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51LVARyETRL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/43708240-thief-river-falls?from_search=true&from_srp=true&qid=ZDLOpMgLiy&rank=1,3.94,34836
Singapore Sapphire,"A Harriet Gordon Mystery, Book 1",A. M. Stuart,https://www.audible.com/pd/Singapore-Sapphire-Audiobook/1984890735?qid=1632673301&sr=1-43&ref=a_special-p_c3_lProduct_1_43&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51ULoYBvEjL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/43704093-singapore-sapphire?from_search=true&from_srp=true&qid=8j4hjkWdV9&rank=1,4.02,1436
The Verdict,,Nick Stone,https://www.audible.com/pd/The-Verdict-Audiobook/B018GWZX0A?qid=1632673301&sr=1-44&ref=a_special-p_c3_lProduct_1_44&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=ZQJBWSTNWQJGWJ56AH92,https://m.media-amazon.com/images/I/51Zn3likteL._SL500_.jpg,Mysteries & Thrillers,https://www.goodreads.com/book/show/25622050-the-verdict?from_search=true&from_srp=true&qid=4QKN2mbrhD&rank=1,3.87,3194
