Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
The Tattooist of Auschwitz,A Novel,Heather Morris,https://www.audible.com/pd/The-Tattooist-of-Auschwitz-Audiobook/B07BZC9GLC?ref=a_ep_vital-_c10_lProduct_1_1&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/5192ZvlVAkL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/38359036-the-tattooist-of-auschwitz?from_search=true&from_srp=true&qid=tBOhaKNoDu&rank=5,https://www.amazon.com/The-Tattooist-of-Auschwitz-audiobook/dp/B07BYXSLF4/ref=sr_1_1?dchild=1&keywords=The+Tattooist+of+Auschwitz+Heather+Morris&qid=1633878065&s=audible&sr=1-1&tag=listenerslist-20,4.26,610330,,,,,,,,"Fiction, $5 Titles"
The Things We Cannot Say,,Kelly Rimmer,https://www.audible.com/pd/The-Things-We-Cannot-Say-Audiobook/B07MBBHPQ5?ref=a_ep_vital-_c10_lProduct_1_2&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/513yvJ80aaL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/40899464-the-things-we-cannot-say?from_search=true&from_srp=true&qid=cuEp2ZDLLf&rank=1,https://www.amazon.com/The-Things-We-Cannot-Say-audiobook/dp/B07MRKPHKR/ref=sr_1_1?dchild=1&keywords=The+Things+We+Cannot+Say+Kelly+Rimmer&qid=1633878068&s=audible&sr=1-1&tag=listenerslist-20,4.51,74290,,,,,,,,"Fiction, $6 Titles"
The Last Kingdom,,Bernard Cornwell,https://www.audible.com/pd/The-Last-Kingdom-Audiobook/B00PRAGG2Y?ref=a_ep_vital-_c10_lProduct_1_3&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/615B35aH0mL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/68527.The_Last_Kingdom?from_search=true&from_srp=true&qid=4I3punnbeE&rank=1,https://www.amazon.com/The-Last-Kingdom-Bernard-Cornwell-audiobook/dp/B00PR9O76M/ref=sr_1_1?dchild=1&keywords=The+Last+Kingdom+Bernard+Cornwell&qid=1633878070&s=audible&sr=1-1&tag=listenerslist-20,4.24,83826,,,,,,,,"Fiction, Nonfiction, $5 Titles"
Room,A Novel,Emma Donoghue,https://www.audible.com/pd/Room-Audiobook/B0041PDAJI?ref=a_ep_vital-_c10_lProduct_1_4&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51YzqhnO2VL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/31685789-room?from_search=true&from_srp=true&qid=7sDeLMOQET&rank=2,https://www.amazon.com/Room-Emma-Donoghue-audiobook/dp/B00435FFO4/ref=sr_1_1?dchild=1&keywords=Room+Emma+Donoghue&qid=1633878072&s=audible&sr=1-1&tag=listenerslist-20,4.06,765951,,,,,,,,"Fiction, $7 Titles"
The Last Correspondent,,Soraya M. Lane,https://www.audible.com/pd/The-Last-Correspondent-Audiobook/1713542714?ref=a_ep_vital-_c10_lProduct_1_5&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51H0muIQ1JL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/53710674-the-last-correspondent?from_search=true&from_srp=true&qid=3WRfe8XRXR&rank=1,https://www.amazon.com/The-Last-Correspondent/dp/B089MCQBT2/ref=sr_1_1?dchild=1&keywords=The+Last+Correspondent+Soraya+M.+Lane&qid=1633878074&s=audible&sr=1-1&tag=listenerslist-20,4.13,9059,,,,,,,,"Fiction, Sci-Fi & Fantasy,  Kids & Teens, $7 Titles"
Lady Clementine,A Novel,Marie Benedict,https://www.audible.com/pd/Lady-Clementine-Audiobook/B082T3J1MH?ref=a_ep_vital-_c10_lProduct_1_6&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51j0bWh40GL._SL500_.jpg,"Fiction, Nonfiction, $5 Titles",https://www.goodreads.com/book/show/45007887-lady-clementine?from_search=true&from_srp=true&qid=mZk4155XF7&rank=1,https://www.amazon.com/Lady-Clementine-Marie-Benedict-audiobook/dp/B082T2W2PL/ref=sr_1_1?dchild=1&keywords=Lady+Clementine+Marie+Benedict&qid=1633878077&s=audible&sr=1-1&tag=listenerslist-20,3.75,12903,,,,,,,,"Fiction,  Kids & Teens, $5 Titles"
The Poisonwood Bible,,Barbara Kingsolver,https://www.audible.com/pd/The-Poisonwood-Bible-Audiobook/B002UZJJHI?ref=a_ep_vital-_c10_lProduct_1_7&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/41rSM21C23L._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible?from_search=true&from_srp=true&qid=DsEsAPfngr&rank=2,https://www.amazon.com/The-Poisonwood-Bible-audiobook/dp/B001AWVRU4/ref=sr_1_1?dchild=1&keywords=The+Poisonwood+Bible+Barbara+Kingsolver&qid=1633878079&s=audible&sr=1-1&tag=listenerslist-20,4.07,687144,,,,,,,,"Fiction, Sci-Fi & Fantasy, $5 Titles"
Less,,Andrew Sean Greer,https://www.audible.com/pd/Less-Audiobook/B0714BG8FG?ref=a_ep_vital-_c10_lProduct_1_8&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51LA7xW9UIL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/39927096-less?from_search=true&from_srp=true&qid=NanIPtyFg2&rank=4,https://www.amazon.com/Less-Andrew-Sean-Greer-audiobook/dp/B0714BGV1V/ref=sr_1_1?dchild=1&keywords=Less+Andrew+Sean+Greer&qid=1633878081&s=audible&sr=1-1&tag=listenerslist-20,3.66,152261,,,,,,,,"Fiction,  Kids & Teens, $6 Titles"
"In Darkness, Look for Stars",,Clara Benson,https://www.audible.com/pd/In-Darkness-Look-for-Stars-Audiobook/B086VM211P?ref=a_ep_vital-_c10_lProduct_1_9&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51a+7xS8okL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/50871634-in-darkness-look-for-stars?from_search=true&from_srp=true&qid=NmXRBhU4zp&rank=1,https://www.amazon.com/In-Darkness-Look-for-Stars/dp/B086VJ7KY1/ref=sr_1_1?dchild=1&keywords=In+Darkness%2C+Look+for+Stars+Clara+Benson&qid=1633878083&s=audible&sr=1-1&tag=listenerslist-20,4.23,1380,,,,,,,,"Mysteries & Thrillers, $5 Titles"
True Grit,,Charles Portis,https://www.audible.com/pd/True-Grit-Audiobook/B002V5GORK?ref=a_ep_vital-_c10_lProduct_1_10&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/61QX3InGC-L._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/257845.True_Grit?from_search=true&from_srp=true&qid=bTVpqPSwD0&rank=1,https://www.amazon.com/True-Grit-Charles-Portis-audiobook/dp/B000G6BJX0/ref=sr_1_1?dchild=1&keywords=True+Grit+Charles+Portis&qid=1633878086&s=audible&sr=1-1&tag=listenerslist-20,4.12,50084,,,,,,,,"Mysteries & Thrillers, $6 Titles"
Erotic Stories for Punjabi Widows,A Novel,Balli Kaur Jaswal,https://www.audible.com/pd/Erotic-Stories-for-Punjabi-Widows-Audiobook/B06Y47GM4M?ref=a_ep_vital-_c10_lProduct_1_11&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/71d18vnmqML._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/32075853-erotic-stories-for-punjabi-widows?from_search=true&from_srp=true&qid=Fvhd7qBmvS&rank=1,https://www.amazon.com/Erotic-Stories-for-Punjabi-Widows-audiobook/dp/B06Y4C4Q8Q/ref=sr_1_1?dchild=1&keywords=Erotic+Stories+for+Punjabi+Widows+Balli+Kaur+Jaswal&qid=1633878088&s=audible&sr=1-1&tag=listenerslist-20,3.91,71369,,,,,,,,"Mysteries & Thrillers, Sci-Fi & Fantasy,  Kids & Teens, $7 Titles"
The Secret Keeper,,Kate Morton,https://www.audible.com/pd/The-Secret-Keeper-Audiobook/B009PNTJE6?ref=a_ep_vital-_c10_lProduct_1_12&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/61s1BEpZ7VL._SL500_.jpg,"Fiction, $7 Titles",https://www.goodreads.com/book/show/13508607-the-secret-keeper?from_search=true&from_srp=true&qid=PG8sa1jn2O&rank=4,https://www.amazon.com/The-Secret-Keeper-Kate-Morton-audiobook/dp/B009R5Q51W/ref=sr_1_1?dchild=1&keywords=The+Secret+Keeper+Kate+Morton&qid=1633878091&s=audible&sr=1-1&tag=listenerslist-20,4.12,149004,,,,,,,,"Mysteries & Thrillers, $7 Titles"
The Extraordinary Life of Sam Hell,A Novel,Robert Dugoni,https://www.audible.com/pd/The-Extraordinary-Life-of-Sam-Hell-Audiobook/B07BNW151C?ref=a_ep_vital-_c10_lProduct_1_13&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51LwjbuJcRL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/35995489-the-extraordinary-life-of-sam-hell?from_search=true&from_srp=true&qid=N7lqmyBw9n&rank=1,https://www.amazon.com/Extraordinary-Life-Sam-Hell-Novel/dp/B07BNVZDM7/ref=sr_1_1?dchild=1&keywords=The+Extraordinary+Life+of+Sam+Hell+Robert+Dugoni&qid=1633878092&s=audible&sr=1-1&tag=listenerslist-20,4.34,93202,,,,,,,,"Mysteries & Thrillers, Sci-Fi & Fantasy, $5 Titles"
Flowers for Algernon,,Daniel Keyes,https://www.audible.com/pd/Flowers-for-Algernon-Audiobook/B002V8HNB8?ref=a_ep_vital-_c10_lProduct_1_14&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/513gi8Xw80L._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/36576608-flowers-for-algernon?from_search=true&from_srp=true&qid=txuFRw6gnq&rank=3,https://www.amazon.com/Flowers-for-Algernon-Daniel-Keyes-audiobook/dp/B002NRMNR6/ref=sr_1_1?dchild=1&keywords=Flowers+for+Algernon+Daniel+Keyes&qid=1633878095&s=audible&sr=1-1&tag=listenerslist-20,4.16,532494,,,,,,,,"Mysteries & Thrillers,  Kids & Teens, $5 Titles"
Fight Club,,Chuck Palahniuk,https://www.audible.com/pd/Fight-Club-Audiobook/B002V1BFI2?ref=a_ep_vital-_c10_lProduct_1_15&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/61mf+Ed41IL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/36236124-fight-club?from_search=true&from_srp=true&qid=mFotB1bCeo&rank=6,https://www.amazon.com/Fight-Club-Chuck-Palahniuk-audiobook/dp/B001EPO5BK/ref=sr_1_1?dchild=1&keywords=Fight+Club+Chuck+Palahniuk&qid=1633878097&s=audible&sr=1-1&tag=listenerslist-20,4.18,535292,,,,,,,,"Sci-Fi & Fantasy, $5 Titles"
No Country for Old Men,,Cormac McCarthy,https://www.audible.com/pd/No-Country-for-Old-Men-Audiobook/B002VA8NLK?ref=a_ep_vital-_c10_lProduct_1_16&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/41OlyCLSqXL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men?from_search=true&from_srp=true&qid=2hLWHftvxc&rank=4,https://www.amazon.com/No-Country-for-Old-Men-audiobook/dp/B000ALAL62/ref=sr_1_1?dchild=1&keywords=No+Country+for+Old+Men+Cormac+McCarthy&qid=1633878100&s=audible&sr=1-1&tag=listenerslist-20,4.09,176074,,,,,,,,"Sci-Fi & Fantasy,  Kids & Teens, $5 Titles"
The Silver Linings Playbook,A Novel,Matthew Quick,https://www.audible.com/pd/The-Silver-Linings-Playbook-Audiobook/B002V1BJAQ?ref=a_ep_vital-_c10_lProduct_1_17&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/61V5qhozPuL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/13539044-the-silver-linings-playbook?from_search=true&from_srp=true&qid=7zDdrdQeoy&rank=2,https://www.amazon.com/The-Silver-Linings-Playbook-audiobook/dp/B001I0YJWQ/ref=sr_1_1?dchild=1&keywords=The+Silver+Linings+Playbook+Matthew+Quick&qid=1633878102&s=audible&sr=1-1&tag=listenerslist-20,3.98,154680,,,,,,,,"Sci-Fi & Fantasy, $6 Titles"
The Odyssey,,"Homer, Emily Wilson - translator",https://www.audible.com/pd/The-Odyssey-Audiobook/B07GLN33S8?ref=a_ep_vital-_c10_lProduct_1_18&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/61zXf3EWpxL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/57754962-the-odyssey-by-homer?from_search=true&from_srp=true&qid=ve4bXaicS4&rank=2,https://www.amazon.com/The-Odyssey-Claire-Danes-audiobook/dp/B07GL4J6Z1/ref=sr_1_1?dchild=1&keywords=The+Odyssey+Homer%2C+Emily+Wilson+-&qid=1633878104&s=audible&sr=1-1&tag=listenerslist-20,4.42,45,,,,,,,,"Sci-Fi & Fantasy, $7 Titles"
A Prayer for Owen Meany,,John Irving,https://www.audible.com/pd/A-Prayer-for-Owen-Meany-Audiobook/B002V8N8WG?ref=a_ep_vital-_c10_lProduct_1_19&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51PoMzHwb8L._SL500_.jpg,"Fiction, $7 Titles",https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany?from_search=true&from_srp=true&qid=QqzTPcaOog&rank=3,https://www.amazon.com/A-Prayer-for-Owen-Meany-audiobook/dp/B001K56NJG/ref=sr_1_1?dchild=1&keywords=A+Prayer+for+Owen+Meany+John+Irving&qid=1633878107&s=audible&sr=1-1&tag=listenerslist-20,4.23,296727,,,,,,,,"Sci-Fi & Fantasy,  Kids & Teens, $6 Titles"
Spilled Milk,Based on a True Story,K. L. Randis,https://www.audible.com/pd/Spilled-Milk-Audiobook/B00YQEG28K?ref=a_ep_vital-_c10_lProduct_1_20&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51bYeIXCz3L._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/18858489-spilled-milk?from_search=true&from_srp=true&qid=9JlUKcgYUh&rank=2,https://www.amazon.com/Spilled-Milk-K-L-Randis-audiobook/dp/B00YQEFCR2/ref=sr_1_1?dchild=1&keywords=Spilled+Milk+K.+L.+Randis&qid=1633878109&s=audible&sr=1-1&tag=listenerslist-20,4.35,47001,,,,,,,,"Romance, $5 Titles"
Master and Commander,"Aubrey/Maturin Series, Book 1",Patrick O'Brian,https://www.audible.com/pd/Master-and-Commander-Audiobook/B002V0KS9A?ref=a_ep_vital-_c10_lProduct_1_21&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51S5gy5QwLL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/77430.Master_and_Commander?from_search=true&from_srp=true&qid=yZZCzdhwGh&rank=3,https://www.amazon.com/Master-and-Commander-audiobook/dp/B0001BJED2/ref=sr_1_1?dchild=1&keywords=Master+and+Commander+Patrick+O%27Brian&qid=1633878111&s=audible&sr=1-1&tag=listenerslist-20,4.04,54878,,,,,,,,"Romance, $7 Titles"
Between Sisters,,Kristin Hannah,https://www.audible.com/pd/Between-Sisters-Audiobook/B002UZL4J4?ref=a_ep_vital-_c10_lProduct_1_22&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51fSXyGIXxL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/217432.Between_Sisters?from_search=true&from_srp=true&qid=G86I4MenKr&rank=1,https://www.amazon.com/Between-Sisters-Kristin-Hannah-audiobook/dp/B001J1M57K/ref=sr_1_1?dchild=1&keywords=Between+Sisters+Kristin+Hannah&qid=1633878113&s=audible&sr=1-1&tag=listenerslist-20,4.03,60767,,,,,,,,"Romance, $6 Titles"
Breakfast of Champions,,Kurt Vonnegut,https://www.audible.com/pd/Breakfast-of-Champions-Audiobook/B00YN9XROA?ref=a_ep_vital-_c10_lProduct_1_23&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51VTN3JIszL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/4980.Breakfast_of_Champions?from_search=true&from_srp=true&qid=ZVVLdb9QL9&rank=1,https://www.amazon.com/Breakfast-of-Champions-audiobook/dp/B00YFOIPSG/ref=sr_1_1?dchild=1&keywords=Breakfast+of+Champions+Kurt+Vonnegut&qid=1633878115&s=audible&sr=1-1&tag=listenerslist-20,4.07,237318,,,,,,,,"Romance,  Kids & Teens, $5 Titles"
The Power of One,,Bryce Courtenay,https://www.audible.com/pd/The-Power-of-One-Audiobook/B002VAEVIE?ref=a_ep_vital-_c10_lProduct_1_24&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51SL764ePzL._SL500_.jpg,"Fiction, Sci-Fi & Fantasy,  Kids & Teens, $7 Titles",https://www.goodreads.com/book/show/122.The_Power_of_One?from_search=true&from_srp=true&qid=uHH8doRx8k&rank=1,https://www.amazon.com/The-Power-of-One-Bryce-Courtenay-audiobook/dp/B000EGCUD0/ref=sr_1_1?dchild=1&keywords=The+Power+of+One+Bryce+Courtenay&qid=1633878118&s=audible&sr=1-1&tag=listenerslist-20,4.32,84580,,,,,,,,"Romance,  Kids & Teens, $6 Titles"
White Queen,,Philippa Gregory,https://www.audible.com/pd/White-Queen-Audiobook/B004JOZTCC?ref=a_ep_vital-_c10_lProduct_1_25&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51yO+M8kENL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/5971165-the-white-queen?from_search=true&from_srp=true&qid=3DT6KD1a2H&rank=1,https://www.amazon.com/White-Queen-Philippa-Gregory-audiobook/dp/B004K3S0F0/ref=sr_1_1?dchild=1&keywords=White+Queen+Philippa+Gregory&qid=1633878121&s=audible&sr=1-1&tag=listenerslist-20,3.94,163209,,,,,,,,"Nonfiction, $5 Titles"
The Big Sleep,,Raymond Chandler,https://www.audible.com/pd/The-Big-Sleep-Audiobook/B00QL82G3E?ref=a_ep_vital-_c10_lProduct_1_26&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/61csWeMBgJL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/2052.The_Big_Sleep?from_search=true&from_srp=true&qid=ADf7nqofIR&rank=1,https://www.amazon.com/The-Big-Sleep-Raymond-Chandler-audiobook/dp/B00QQX17N4/ref=sr_1_1?dchild=1&keywords=The+Big+Sleep+Raymond+Chandler&qid=1633878124&s=audible&sr=1-1&tag=listenerslist-20,3.95,144733,,,,,,,,"Nonfiction, $6 Titles"
The Day of the Jackal,,Frederick Forsyth,https://www.audible.com/pd/The-Day-of-the-Jackal-Audiobook/B002ZG512E?ref=a_ep_vital-_c10_lProduct_1_27&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/511xDnt2jiL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/540020.The_Day_of_the_Jackal?from_search=true&from_srp=true&qid=YPELg2KqXh&rank=1,https://www.amazon.com/The-Day-of-Jackal-audiobook/dp/B002ZOVVX4/ref=sr_1_1?dchild=1&keywords=The+Day+of+the+Jackal+Frederick+Forsyth&qid=1633878126&s=audible&sr=1-1&tag=listenerslist-20,4.25,133262,,,,,,,,"Nonfiction, $7 Titles"
The Women in the Castle,,Jessica Shattuck,https://www.audible.com/pd/The-Women-in-the-Castle-Audiobook/B01N6QVT4V?ref=a_ep_vital-_c10_lProduct_1_28&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51lwymigCcL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/30653967-the-women-in-the-castle?from_search=true&from_srp=true&qid=PWioWEsWJQ&rank=1,https://www.amazon.com/The-Women-in-Castle-audiobook/dp/B01NBUC8DN/ref=sr_1_1?dchild=1&keywords=The+Women+in+the+Castle+Jessica+Shattuck&qid=1633878128&s=audible&sr=1-1&tag=listenerslist-20,3.85,58089,,,,,,,,"Nonfiction,  Kids & Teens, $5 Titles"
Magic Hour,,Kristin Hannah,https://www.audible.com/pd/Magic-Hour-Audiobook/1713592185?ref=a_ep_vital-_c10_lProduct_1_29&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51RZqkKnI8L._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/1470232.Magic_Hour?from_search=true&from_srp=true&qid=IWlXRZuKtN&rank=1,https://www.amazon.com/Magic-Hour/dp/B08PW53JTD/ref=sr_1_1?dchild=1&keywords=Magic+Hour+Kristin+Hannah&qid=1633878129&s=audible&sr=1-1&tag=listenerslist-20,4.13,74617,,,,,,,,
The Boston Girl: A Novel,,Anita Diamant,https://www.audible.com/pd/The-Boston-Girl-A-Novel-Audiobook/B00P6PJ1KE?ref=a_ep_vital-_c10_lProduct_1_30&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51gmEZQ0c1L._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/27397336-the-boston-girl?from_search=true&from_srp=true&qid=9UOrjpFAFd&rank=1,https://www.amazon.com/The-Boston-Girl-Novel-audiobook/dp/B00P6O0PKU/ref=sr_1_1?dchild=1&keywords=The+Boston+Girl%3A+A+Novel+Anita+Diamant&qid=1633878131&s=audible&sr=1-1&tag=listenerslist-20,3.86,21,,,,,,,,
It Can't Happen Here,,Sinclair Lewis,https://www.audible.com/pd/It-Cant-Happen-Here-Audiobook/B01GW4EAE4?ref=a_ep_vital-_c10_lProduct_1_31&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/61MiotHcXXL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/58949229-it-can-t-happen-here?from_search=true&from_srp=true&qid=IM1LnXz2JM&rank=4,https://www.amazon.com/It-Cant-Happen-Here-audiobook/dp/B01GW4EB66/ref=sr_1_1?dchild=1&keywords=It+Can-t+Happen+Here+Sinclair+Lewis&qid=1633878134&s=audible&sr=1-1&tag=listenerslist-20,0.0,0,,,,,,,,
The Ragged Edge of Night,,Olivia Hawker,https://www.audible.com/pd/The-Ragged-Edge-of-Night-Audiobook/1543698565?ref=a_ep_vital-_c10_lProduct_1_32&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51hsx1uCSFL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/38096424-the-ragged-edge-of-night?from_search=true&from_srp=true&qid=0UJxfuUc1C&rank=1,https://www.amazon.com/The-Ragged-Edge-of-Night-audiobook/dp/B07GT5RM8Y/ref=sr_1_1?dchild=1&keywords=The+Ragged+Edge+of+Night+Olivia+Hawker&qid=1633878136&s=audible&sr=1-1&tag=listenerslist-20,4.12,46124,,,,,,,,
The Girl You Left Behind,,Jojo Moyes,https://www.audible.com/pd/The-Girl-You-Left-Behind-Audiobook/B00EHO5FDM?ref=a_ep_vital-_c10_lProduct_1_33&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51DU31Rfv8L._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/18693627-the-girl-you-left-behind?from_search=true&from_srp=true&qid=nzolmhsg7s&rank=6,https://www.amazon.com/The-Girl-You-Left-Behind-audiobook/dp/B00EKKXURG/ref=sr_1_1?dchild=1&keywords=The+Girl+You+Left+Behind+Jojo+Moyes&qid=1633878139&s=audible&sr=1-1&tag=listenerslist-20,4.0,146521,,,,,,,,
Thornwood House,,Anna Romer,https://www.audible.com/pd/Thornwood-House-Audiobook/B00I0GAO66?ref=a_ep_vital-_c10_lProduct_1_34&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/517EhmlrHJL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/18298549-thornwood-house?from_search=true&from_srp=true&qid=TG0rIe21bo&rank=1,https://www.amazon.com/Thornwood-House-Anna-Romer-audiobook/dp/B00I0FVCCM/ref=sr_1_1?dchild=1&keywords=Thornwood+House+Anna+Romer&qid=1633878141&s=audible&sr=1-1&tag=listenerslist-20,3.88,2654,,,,,,,,
