Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"Pacific Crucible: War at Sea in the Pacific, 1941-1942",,Ian W. Toll,https://www.audible.com/pd/Pacific-Crucible-War-at-Sea-in-the-Pacific-1941-1942-Audiobook/B0062CHMRE?ref=a_ep_vital-_c10_lProduct_1_28&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/513CrYg6gZL._SL500_.jpg,"Nonfiction, $7 Titles",https://www.goodreads.com/book/show/13707735-pacific-crucible?from_search=true&from_srp=true&qid=uOWfzIxUVb&rank=1,https://www.amazon.com/Pacific-Crucible-War-Sea-1941-1942/dp/B0064I1BJ6/ref=sr_1_1?dchild=1&keywords=Pacific+Crucible%3A+War+at+Sea+in+the+Pacific%2C+1941-1942+Ian+W.+Toll&qid=1633878950&s=audible&sr=1-1&tag=listenerslist-20,4.54,5746,,,,,,,,
Liquid Rules,The Delightful and Dangerous Substances That Flow Through Our Lives,Mark Miodownik,https://www.audible.com/pd/Liquid-Rules-Audiobook/1980002444?ref=a_ep_vital-_c10_lProduct_1_29&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/51dUyZcsyTL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/35721140-liquid-rules?from_search=true&from_srp=true&qid=ADcv6Isvf3&rank=1,https://www.amazon.com/Liquid-Rules-Mark-Miodownik-audiobook/dp/B07NGLW8N9/ref=sr_1_1?dchild=1&keywords=Liquid+Rules+Mark+Miodownik&qid=1633878953&s=audible&sr=1-1&tag=listenerslist-20,4.12,2416,,,,,,,,
Too Big to Fail,The Inside Story of How Wall Street and Washington Fought to Save the Financial System - and Themselves,Andrew Ross Sorkin,https://www.audible.com/pd/Too-Big-to-Fail-Audiobook/B0036NA8R8?ref=a_ep_vital-_c10_lProduct_1_30&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/41Z0fex6IfL._SL500_.jpg,"Nonfiction, $7 Titles",https://www.goodreads.com/book/show/6687247-too-big-to-fail?from_search=true&from_srp=true&qid=vF30Q3TJSg&rank=4,https://www.amazon.com/Too-Big-to-Fail-audiobook/dp/B002VGER5A/ref=sr_1_1?dchild=1&keywords=Too+Big+to+Fail+Andrew+Ross+Sorkin&qid=1633878955&s=audible&sr=1-1&tag=listenerslist-20,4.12,37315,,,,,,,,
You Do You,How to Be Who You Are and Use What You've Got to Get What You Want,Sarah Knight,https://www.audible.com/pd/You-Do-You-Audiobook/B0765D4H1G?ref=a_ep_vital-_c10_lProduct_1_31&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/41plNRTGKCL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/35430922-you-do-you?from_search=true&from_srp=true&qid=8ylxF8OEXp&rank=6,https://www.amazon.com/You-Do-You-Sarah-Knight-audiobook/dp/B0765BLWRP/ref=sr_1_1?dchild=1&keywords=You+Do+You+Sarah+Knight&qid=1633878957&s=audible&sr=1-1&tag=listenerslist-20,3.62,6590,,,,,,,,
The Lost Airman,A True Story of Escape from Nazi Occupied France,"Seth Meyerowitz, Peter F. Stevens",https://www.audible.com/pd/The-Lost-Airman-Audiobook/B01A03GZPU?ref=a_ep_vital-_c10_lProduct_1_32&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/51qBaEG3nsL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/42084800-the-lost-airman?from_search=true&from_srp=true&qid=89eM9camJV&rank=1,https://www.amazon.com/The-Lost-Airman-audiobook/dp/B01A03G4R4/ref=sr_1_1?dchild=1&keywords=The+Lost+Airman+Seth+Meyerowitz%2C+Peter+F.+Stevens&qid=1633878959&s=audible&sr=1-1&tag=listenerslist-20,4.18,1226,,,,,,,,
North,,"Scott Jurek, Jenny Jurek",https://www.audible.com/pd/North-Audiobook/B07BLMT7Z7?ref=a_ep_vital-_c10_lProduct_1_33&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/51BWnn20mPL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/34219858-north?from_search=true&from_srp=true&qid=zpIic3pQtD&rank=1,https://www.amazon.com/North-Scott-Jurek-Jenny-Jurek-audiobook/dp/B07BLJDPBN/ref=sr_1_1?dchild=1&keywords=North+Scott+Jurek%2C+Jenny+Jurek&qid=1633878961&s=audible&sr=1-1&tag=listenerslist-20,4.21,9449,,,,,,,,
The Federalist Papers (AmazonClassics Edition),,"Alexander Hamilton, James Madison, John Jay",https://www.audible.com/pd/The-Federalist-Papers-AmazonClassics-Edition-Audiobook/B07D4284W1?ref=a_ep_vital-_c10_lProduct_1_34&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/41cnIF8DeEL._SL500_.jpg,"Nonfiction, $7 Titles",https://www.goodreads.com/book/show/36166009-the-federalist-papers?from_search=true&from_srp=true&qid=aKIdrsIxRJ&rank=1,https://www.amazon.com/The-Federalist-Papers-AmazonClassics-Edition/dp/B07D4216D9/ref=sr_1_1?dchild=1&keywords=The+Federalist+Papers+%28AmazonClassics+Edition%29+Alexander+Hamilton%2C+James+Madison%2C+John+Jay&qid=1633878964&s=audible&sr=1-1&tag=listenerslist-20,4.09,37283,,,,,,,,
Matriarch,Queen Mary and the House of Windsor,Anne Edwards,https://www.audible.com/pd/Matriarch-Audiobook/B06Y48TGQC?ref=a_ep_vital-_c10_lProduct_1_35&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/51fMzwpGegL._SL500_.jpg,"Nonfiction, $6 Titles",https://www.goodreads.com/book/show/392815.Matriarch?from_search=true&from_srp=true&qid=VH1hbn47ml&rank=1,https://www.amazon.com/Matriarch-Anne-Edwards-audiobook/dp/B06Y438NXL/ref=sr_1_1?dchild=1&keywords=Matriarch+Anne+Edwards&qid=1633878966&s=audible&sr=1-1&tag=listenerslist-20,4.2,2317,,,,,,,,
Turn Right at Machu Picchu,Rediscovering the Lost City One Step at a Time,Mark Adams,https://www.audible.com/pd/Turn-Right-at-Machu-Picchu-Audiobook/B00803W5LG?ref=a_ep_vital-_c10_lProduct_1_36&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/514Mr5+81WL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/10111087-turn-right-at-machu-picchu?from_search=true&from_srp=true&qid=j4uS1xgI8f&rank=1,https://www.amazon.com/Turn-Right-at-Machu-Picchu-audiobook/dp/B0080JLQEC/ref=sr_1_1?dchild=1&keywords=Turn+Right+at+Machu+Picchu+Mark+Adams&qid=1633878968&s=audible&sr=1-1&tag=listenerslist-20,3.85,16315,,,,,,,,
A Crack in Creation,Gene Editing and the Unthinkable Power to Control Evolution,"Jennifer A. Doudna, Samuel H. Sternberg",https://www.audible.com/pd/A-Crack-in-Creation-Audiobook/B072QWW81B?ref=a_ep_vital-_c10_lProduct_1_37&pf_rd_p=b1bccf4c-9748-49b1-ad78-3978a9f9ea07&pf_rd_r=35VM5BJ21CG3Z0TAXJ16,https://m.media-amazon.com/images/I/51yLt7KaykL._SL500_.jpg,"Nonfiction, $5 Titles",https://www.goodreads.com/book/show/30971755-a-crack-in-creation?from_search=true&from_srp=true&qid=jTOjpFIibG&rank=1,https://www.amazon.com/Summary-Jennifer-Doudna-Sternbergs-Creation/dp/B097CLN24B/ref=sr_1_1?dchild=1&keywords=A+Crack+in+Creation+Jennifer+A.+Doudna%2C+Samuel+H.+Sternberg&qid=1633878971&s=audible&sr=1-1&tag=listenerslist-20,4.14,4250,,,,,,,,
