Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
Funny Girl,A Novel,Nick Hornby,https://www.audible.com/pd/Funny-Girl-Audiobook/B00RC4MSRA?ref=a_ep_black-_c10_lProduct_1_11&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51YfbhSM-EL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/22749994-funny-girl?from_search=true&from_srp=true&qid=BpIXeKIkrg&rank=2,https://www.amazon.com/Funny-Girl-Nick-Hornby-audiobook/dp/B00RC52GMQ/ref=sr_1_1?keywords=Funny+Girl+Nick+Hornby&qid=1637874086&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B00RC52GMQ%2CB00VGWVXUC&srpt=ABIS_BOOK&tag=listenerslist-20,3.39,"28,301"
The Last Romantics,A Novel,Tara Conklin,https://www.audible.com/pd/The-Last-Romantics-Audiobook/0062898167?ref=a_ep_black-_c10_lProduct_1_12&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51tiz3iorBL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/35068465-the-last-romantics?from_search=true&from_srp=true&qid=5q3D4cLEwa&rank=1,https://www.amazon.com/The-Last-Romantics-Tara-Conklin-audiobook/dp/B07J2HVZDG/ref=sr_1_1?keywords=The+Last+Romantics+Tara+Conklin&qid=1637874088&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B07J2HVZDG%2CB00B29PORC%2CB08N393GT5%2CB07JX7ZDJ3&srpt=ABIS_BOOK&tag=listenerslist-20,3.73,"37,078"
Blind Tiger,,Sandra Brown,https://www.audible.com/pd/Blind-Tiger-Audiobook/1549156357?ref=a_ep_black-_c10_lProduct_1_13&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/517IRY7LcwL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/56625109-blind-tiger?from_search=true&from_srp=true&qid=0ySauLtnN9&rank=1,https://www.amazon.com/Blind-Tiger/dp/B094YR1LWL/ref=sr_1_1?keywords=Blind+Tiger+Sandra+Brown&qid=1637874091&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B094YR1LWL%2CB084KNVRCL%2CB07RYZXXPZ%2CB00N0YF02G%2CB00005AVX9%2CB092W5K8LH%2CB001EBHF5C%2CB00H7HRH8W%2CB002L7KT2O%2CB01G91QJ8U%2CB003Z91CUK%2CB07FK5512T%2CB007PU0882%2CB00L8A3Y3Q%2CB08WJQZQHT&tag=listenerslist-20,4.25,"6,084"
How to Kill Your Family,,Bella Mackie,https://www.audible.com/pd/How-to-Kill-Your-Family-Audiobook/0008365938?ref=a_ep_black-_c10_lProduct_1_14&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51aVSu5W4CS._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/50224049-how-to-kill-your-family?from_search=true&from_srp=true&qid=ZvAtFRisU7&rank=1,https://www.amazon.com/How-to-Kill-Your-Family/dp/B08XK6P3TC/ref=sr_1_1?keywords=How+to+Kill+Your+Family+Bella+Mackie&qid=1637874093&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B08XK6P3TC&srpt=ABIS_BOOK&tag=listenerslist-20,3.93,"5,263"
The Ship of Brides,,Jojo Moyes,https://www.audible.com/pd/The-Ship-of-Brides-Audiobook/B00JEGSHY2?ref=a_ep_black-_c10_lProduct_1_15&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51yUMOp9goL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/20893485-the-ship-of-brides?from_search=true&from_srp=true&qid=8L55CUxEA2&rank=1,https://www.amazon.com/The-Ship-of-Brides-Jojo-Moyes-audiobook/dp/B00JEGSMXS/ref=sr_1_1?keywords=The+Ship+of+Brides+Jojo+Moyes&qid=1637874095&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B00JEGSMXS&srpt=ABIS_EBOOKS&tag=listenerslist-20,3.82,"32,331"
She Would Be King,A Novel,Wayétu Moore,https://www.audible.com/pd/She-Would-Be-King-Audiobook/B07FT52GD4?ref=a_ep_black-_c10_lProduct_1_16&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51LBK8PILmL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/37941786-she-would-be-king?from_search=true&from_srp=true&qid=KtG3T3DekF&rank=1,https://www.amazon.com/She-Would-Be-King-Wayetu-Moore-audiobook/dp/B07FSXZX73/ref=sr_1_1?keywords=She+Would+Be+King+Way%C3%A9tu+Moore&qid=1637874098&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B07FSXZX73&tag=listenerslist-20,4.01,"5,432"
Across the Winding River,,Aimie K. Runyan,https://www.audible.com/pd/Across-the-Winding-River-Audiobook/1799750604?ref=a_ep_black-_c10_lProduct_1_17&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51JdAyImdxL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/48887104-across-the-winding-river?from_search=true&from_srp=true&qid=roLC1eeeG6&rank=1,https://www.amazon.com/Across-the-Winding-River/dp/B084RSH9FL/ref=sr_1_1?keywords=Across+the+Winding+River+Aimie+K.+Runyan&qid=1637874100&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B084RSH9FL%2CB078477Y8G%2CB07CTT9F6N&srpt=ABIS_EBOOKS&tag=listenerslist-20,4.11,"16,265"
Where the Story Starts,,Imogen Clark,https://www.audible.com/pd/Where-the-Story-Starts-Audiobook/172138409X?ref=a_ep_black-_c10_lProduct_1_18&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51M84Ayh1SL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/43073909-where-the-story-starts?from_search=true&from_srp=true&qid=L9szgWJKSN&rank=1,https://www.amazon.com/Where-Story-Starts-Imogen-Clark-audiobook/dp/B07QVM7W63/ref=sr_1_1?keywords=Where+the+Story+Starts+Imogen+Clark&qid=1637874102&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B07QVM7W63%2CB07HJTXXY5%2CB0977KFXDM%2CB08HB3HLKD%2CB06XG5TFT2%2CB083P63JNG&tag=listenerslist-20,4.13,"14,320"
Light Perpetual,A Novel,Francis Spufford,https://www.audible.com/pd/Light-Perpetual-Audiobook/1797125737?ref=a_ep_black-_c10_lProduct_1_19&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51ErKNKyvgS._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/55711743-light-perpetual?from_search=true&from_srp=true&qid=1tta94JSPG&rank=1,https://www.amazon.com/Light-Perpetual-A-Novel/dp/B08PL81ZJF/ref=sr_1_1?keywords=Light+Perpetual+Francis+Spufford&qid=1637874104&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B08PL81ZJF%2CB07GBDP77L%2CB08TKBL3T2&tag=listenerslist-20,3.75,"2,250"
Jackie and Maria,A Novel of Jackie Kennedy & Maria Callas,Gill Paul,https://www.audible.com/pd/Jackie-and-Maria-Audiobook/006295251X?ref=a_ep_black-_c10_lProduct_1_20&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51sEtZX2IvL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/48896281-jackie-and-maria?from_search=true&from_srp=true&qid=QDkJjcQCiK&rank=1,https://www.amazon.com/Jackie-Maria-Novel-Kennedy-Callas/dp/B0821SG7SF/ref=sr_1_1?keywords=Jackie+and+Maria+Gill+Paul&qid=1637874107&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B0821SG7SF%2CB07F41MVWG&tag=listenerslist-20,4.15,"2,854"
